Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1995,21,NYY,AL,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7,
1996,22,NYY,AL,46,106,88,17,25,6,1,2,16,6,2,13,26,.284,.381,.443,.824,107,39,1,2,1,2,0,987,
1997,23,SDP,NL,17,22,20,2,5,1,0,0,1,2,1,2,9,.250,.318,.300,.618,69,6,0,0,0,0,0,/897,
1998,24,SDP,NL,95,204,172,31,36,7,2,6,29,5,1,28,52,.209,.325,.378,.703,91,65,1,2,1,1,0,987,
1999,25,SDP,NL,147,475,411,65,80,16,1,23,48,18,7,55,143,.195,.295,.406,.701,82,167,9,5,0,4,1,*8,
2000,26,SDP,NL,135,479,423,62,88,18,6,17,57,8,4,44,137,.208,.296,.400,.696,80,169,8,10,0,2,1,*8/7,
2001,27,CIN,NL,117,290,263,37,67,13,1,10,34,6,3,21,83,.255,.321,.426,.747,87,112,7,5,0,1,1,897,
2002,28,TEX,AL,69,186,158,17,33,4,0,4,14,4,2,17,45,.209,.302,.310,.612,60,49,2,5,4,2,0,8/D,
2003,29,SFG,NL,31,55,50,6,9,2,0,2,4,1,0,5,14,.180,.255,.340,.595,54,17,0,0,0,0,1,8/79,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,662,1818,1586,237,343,67,11,64,203,50,20,185,510,.216,.307,.393,.701,82,624,28,29,6,12,4,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,445,388,58,84,16,3,16,50,12,5,45,125,.216,.307,.393,.701,82,153,7,7,1,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDP (4 yrs),SDP (4 yrs),SDP (4 yrs),SDP (4 yrs),394,1180,1026,160,209,42,9,46,135,33,13,129,341,.204,.301,.397,.698,82,407,18,17,1,7,2,,
NYY (2 yrs),NYY (2 yrs),NYY (2 yrs),NYY (2 yrs),51,107,89,17,25,6,1,2,16,6,2,13,27,.281,.377,.438,.816,105,39,1,2,1,2,0,,
TEX (1 yr),TEX (1 yr),TEX (1 yr),TEX (1 yr),69,186,158,17,33,4,0,4,14,4,2,17,45,.209,.302,.310,.612,60,49,2,5,4,2,0,,
CIN (1 yr),CIN (1 yr),CIN (1 yr),CIN (1 yr),117,290,263,37,67,13,1,10,34,6,3,21,83,.255,.321,.426,.747,87,112,7,5,0,1,1,,
SFG (1 yr),SFG (1 yr),SFG (1 yr),SFG (1 yr),31,55,50,6,9,2,0,2,4,1,0,5,14,.180,.255,.340,.595,54,17,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (6 yrs),NL (6 yrs),NL (6 yrs),NL (6 yrs),542,1525,1339,203,285,57,10,58,173,40,16,155,438,.213,.303,.400,.703,82,536,25,22,1,8,4,,
AL (3 yrs),AL (3 yrs),AL (3 yrs),AL (3 yrs),120,293,247,34,58,10,1,6,30,10,4,30,72,.235,.330,.356,.686,77,88,3,7,5,4,0,,
